tenure,monthly_charges,total_charges,contract,internet_service,tech_support,payment_method,churn
63,32.68,1913.58,Month-to-month,Fiber optic,No,Mailed check,0
48,78.73,3782.85,Two year,No,No,Credit card,0
35,35.56,1152.8,Month-to-month,Fiber optic,Yes,Bank transfer,1
23,112.4,2703.65,Month-to-month,DSL,Yes,Credit card,0
22,24.97,539.07,One year,Fiber optic,No,Bank transfer,0
61,61.9,4120.37,One year,No,Yes,Electronic check,0
36,88.97,3031.39,Two year,No,Yes,Credit card,0
11,64.72,699.2,One year,Fiber optic,Yes,Credit card,1
54,27.39,1491.73,Two year,Fiber optic,Yes,Bank transfer,0
12,74.44,901.03,Two year,DSL,Yes,Credit card,0
22,83.45,2010.71,One year,No,No,Electronic check,0
29,89.79,2919.94,Month-to-month,DSL,No,Mailed check,0
16,56.07,865.87,One year,No,No,Electronic check,0
61,75.49,4582.64,Two year,Fiber optic,No,Mailed check,0
12,63.97,914.24,One year,No,No,Electronic check,0
58,86.55,5344.08,Month-to-month,DSL,Yes,Electronic check,0
18,77.52,1606.38,One year,Fiber optic,No,Credit card,0
48,71.63,3274.07,Month-to-month,DSL,Yes,Electronic check,1
11,43.45,492.34,Month-to-month,Fiber optic,No,Bank transfer,1
60,18.21,1034.12,Month-to-month,No,No,Bank transfer,0
18,35.76,652.58,One year,Fiber optic,No,Bank transfer,0
8,29.94,281.55,Two year,Fiber optic,No,Bank transfer,1
70,63.81,4226.92,Month-to-month,DSL,No,Credit card,0
27,80.45,2263.52,Month-to-month,No,No,Bank transfer,1
51,39.73,1970.6,Month-to-month,Fiber optic,Yes,Electronic check,1
15,113.78,1940.34,One year,Fiber optic,No,Bank transfer,0
68,18.68,1161.73,Month-to-month,Fiber optic,No,Credit card,0
11,96.77,1096.93,Month-to-month,Fiber optic,Yes,Mailed check,1
24,81.77,2087.28,Month-to-month,Fiber optic,Yes,Electronic check,1
51,56.1,2681.9,Month-to-month,Fiber optic,No,Electronic check,1
52,23.15,1218.68,Month-to-month,Fiber optic,Yes,Credit card,1
22,82.0,1861.94,One year,No,Yes,Mailed check,0
15,57.33,981.95,Month-to-month,No,No,Bank transfer,0
56,113.5,6631.75,One year,DSL,Yes,Mailed check,0
38,73.28,2937.77,Month-to-month,Fiber optic,No,Electronic check,1
52,113.84,6578.72,Month-to-month,DSL,No,Electronic check,0
41,40.49,1864.64,Month-to-month,DSL,No,Electronic check,1
57,92.02,5500.9,One year,Fiber optic,Yes,Mailed check,0
38,80.96,3171.33,Two year,No,No,Bank transfer,0
13,93.42,1336.11,Two year,DSL,No,Electronic check,1
4,39.9,194.81,One year,Fiber optic,Yes,Credit card,0
34,85.83,3296.92,Month-to-month,No,Yes,Bank transfer,0
17,68.8,1289.18,Two year,No,No,Electronic check,0
8,93.77,808.65,One year,Fiber optic,Yes,Bank transfer,0
57,51.36,2715.41,Month-to-month,Fiber optic,Yes,Credit card,1
16,108.79,1681.03,Two year,Fiber optic,Yes,Mailed check,0
6,26.6,175.21,Month-to-month,DSL,Yes,Electronic check,1
45,100.33,4368.65,Month-to-month,DSL,Yes,Credit card,0
12,105.85,1352.67,Month-to-month,DSL,No,Electronic check,0
39,101.36,3823.17,Month-to-month,Fiber optic,No,Electronic check,0
41,70.3,3029.91,Month-to-month,No,Yes,Mailed check,0
8,62.72,531.88,Month-to-month,Fiber optic,No,Mailed check,1
49,119.62,5607.64,Month-to-month,Fiber optic,No,Bank transfer,1
26,41.38,1110.83,Month-to-month,Fiber optic,No,Credit card,0
65,73.78,5248.0,One year,DSL,No,Credit card,0
4,86.41,429.31,One year,Fiber optic,No,Mailed check,1
28,89.49,2550.49,Month-to-month,No,No,Electronic check,0
36,38.81,1458.4,Month-to-month,DSL,No,Bank transfer,0
37,84.71,3062.68,Month-to-month,DSL,No,Mailed check,0
7,101.47,787.97,Two year,Fiber optic,Yes,Bank transfer,1
64,23.1,1415.56,Month-to-month,Fiber optic,Yes,Bank transfer,0
16,110.98,1913.76,Month-to-month,Fiber optic,No,Credit card,0
70,21.01,1550.6,Month-to-month,Fiber optic,No,Bank transfer,0
44,54.31,2528.85,One year,Fiber optic,No,Credit card,0
3,19.61,74.59,Month-to-month,DSL,No,Electronic check,1
35,25.87,983.41,Month-to-month,Fiber optic,Yes,Electronic check,0
69,110.94,7386.76,Month-to-month,Fiber optic,No,Mailed check,1
30,54.2,1562.69,Month-to-month,No,Yes,Electronic check,0
18,61.33,1130.27,Two year,No,Yes,Credit card,0
60,39.97,2485.83,Two year,No,No,Bank transfer,0
53,78.9,3955.54,One year,Fiber optic,Yes,Bank transfer,0
38,78.67,3159.0,One year,Fiber optic,No,Electronic check,1
18,55.96,1140.45,Month-to-month,Fiber optic,No,Credit card,0
38,51.97,1942.98,One year,No,Yes,Bank transfer,0
66,108.27,7181.85,One year,DSL,No,Electronic check,0
44,57.09,2429.45,Month-to-month,Fiber optic,No,Credit card,0
12,68.34,863.77,Two year,Fiber optic,Yes,Credit card,0
57,46.9,2460.13,Month-to-month,Fiber optic,Yes,Bank transfer,0
19,98.25,2143.33,Month-to-month,DSL,No,Mailed check,0
71,58.54,4143.98,One year,Fiber optic,No,Mailed check,0
60,70.39,4541.86,One year,Fiber optic,Yes,Credit card,0
38,43.84,1587.56,One year,Fiber optic,Yes,Credit card,0
0,118.74,126.16,Month-to-month,Fiber optic,No,Electronic check,1
2,47.73,153.5,Two year,Fiber optic,No,Credit card,1
61,96.62,6248.6,Month-to-month,No,Yes,Electronic check,0
62,61.6,4193.75,Month-to-month,Fiber optic,No,Electronic check,1
24,39.03,910.8,Two year,Fiber optic,No,Electronic check,1
55,99.57,5549.69,One year,DSL,No,Credit card,0
32,52.03,1758.24,Month-to-month,DSL,Yes,Credit card,0
37,106.25,4115.18,One year,Fiber optic,No,Electronic check,0
5,111.36,716.41,Month-to-month,Fiber optic,Yes,Bank transfer,1
57,105.7,5782.0,Month-to-month,Fiber optic,No,Credit card,0
43,21.57,887.51,Month-to-month,DSL,No,Mailed check,0
44,98.31,4205.74,Two year,No,No,Bank transfer,0
31,59.96,2068.97,Month-to-month,Fiber optic,No,Mailed check,0
44,107.12,5245.59,One year,DSL,No,Credit card,0
60,83.07,5137.84,Month-to-month,Fiber optic,No,Bank transfer,0
46,103.03,4843.74,One year,No,Yes,Credit card,0
20,68.94,1478.25,Month-to-month,Fiber optic,No,Credit card,0
35,72.57,2673.29,One year,DSL,Yes,Bank transfer,0
18,32.73,580.86,Month-to-month,Fiber optic,Yes,Credit card,1
19,97.97,2032.45,One year,DSL,No,Bank transfer,0
56,60.78,3431.44,Two year,DSL,No,Credit card,0
17,69.01,1246.5,One year,DSL,No,Electronic check,0
46,98.08,4176.73,Month-to-month,Fiber optic,No,Mailed check,0
48,79.08,4079.95,Two year,DSL,No,Electronic check,0
13,38.51,575.31,Month-to-month,No,No,Credit card,0
14,78.2,1201.02,One year,DSL,Yes,Credit card,0
30,59.58,1938.86,Two year,DSL,No,Credit card,0
0,65.89,66.19,Month-to-month,Fiber optic,No,Electronic check,1
53,20.89,1154.76,Month-to-month,DSL,Yes,Credit card,0
2,39.42,115.77,Month-to-month,Fiber optic,Yes,Bank transfer,1
15,46.67,790.31,One year,DSL,No,Mailed check,0
56,90.72,5138.23,One year,DSL,Yes,Credit card,0
11,19.17,238.33,Month-to-month,DSL,Yes,Credit card,1
15,59.7,978.4,Month-to-month,Fiber optic,Yes,Mailed check,1
71,112.25,8409.02,Month-to-month,DSL,Yes,Mailed check,0
23,29.41,746.1,Month-to-month,Fiber optic,No,Mailed check,0
27,70.68,1984.07,Month-to-month,Fiber optic,No,Electronic check,1
7,98.23,835.04,Two year,Fiber optic,Yes,Electronic check,1
35,114.14,4106.79,Month-to-month,Fiber optic,No,Credit card,0
7,94.17,822.16,Two year,Fiber optic,Yes,Mailed check,0
57,91.5,5575.19,One year,No,No,Credit card,0
59,102.3,5734.29,Month-to-month,DSL,No,Credit card,1
49,63.51,3384.82,One year,DSL,No,Credit card,0
27,100.2,2834.55,Month-to-month,DSL,No,Electronic check,0
40,18.81,845.93,Month-to-month,DSL,No,Mailed check,0
63,112.31,7502.41,Month-to-month,DSL,No,Credit card,0
26,63.22,1565.06,Month-to-month,Fiber optic,No,Electronic check,1
62,74.44,4591.2,Month-to-month,Fiber optic,No,Bank transfer,1
16,44.0,750.58,Month-to-month,No,No,Bank transfer,0
32,93.74,3303.16,Month-to-month,DSL,No,Credit card,1
28,25.82,783.13,Month-to-month,DSL,No,Credit card,0
12,107.01,1354.78,Month-to-month,No,Yes,Mailed check,0
45,102.47,4858.26,Month-to-month,No,No,Mailed check,0
34,40.04,1422.96,Month-to-month,Fiber optic,Yes,Credit card,0
5,100.55,558.18,Month-to-month,Fiber optic,Yes,Electronic check,1
68,98.21,6417.14,Two year,No,Yes,Credit card,0
46,82.49,3753.84,Month-to-month,Fiber optic,No,Mailed check,1
24,56.1,1317.08,One year,DSL,No,Mailed check,0
65,45.69,2804.53,Month-to-month,No,No,Electronic check,1
9,41.64,379.61,Two year,Fiber optic,No,Credit card,1
55,50.5,3039.03,Month-to-month,DSL,No,Mailed check,1
29,110.16,3165.3,Two year,Fiber optic,No,Credit card,0
4,25.92,124.17,One year,Fiber optic,No,Mailed check,1
32,102.54,3185.01,Month-to-month,No,No,Bank transfer,1
64,53.59,3466.21,Two year,DSL,Yes,Bank transfer,0
17,71.2,1285.25,Month-to-month,No,No,Bank transfer,0
48,99.04,4569.82,Month-to-month,Fiber optic,No,Mailed check,0
10,108.21,1216.16,One year,Fiber optic,No,Electronic check,1
25,53.17,1444.08,Two year,DSL,No,Bank transfer,0
62,65.11,3998.43,Month-to-month,Fiber optic,No,Mailed check,1
58,60.28,3617.3,Month-to-month,No,No,Credit card,0
26,19.35,522.69,One year,Fiber optic,No,Bank transfer,0
48,48.19,2217.53,One year,DSL,No,Electronic check,0
32,64.84,2238.15,Two year,Fiber optic,Yes,Electronic check,0
0,59.93,63.54,One year,Fiber optic,No,Electronic check,1
20,91.64,1981.71,Month-to-month,DSL,No,Credit card,0
54,57.25,3037.85,Two year,Fiber optic,No,Credit card,0
5,67.92,442.31,Month-to-month,Fiber optic,No,Electronic check,1
68,61.82,4227.5,Month-to-month,DSL,Yes,Electronic check,1
4,93.54,445.8,Month-to-month,Fiber optic,Yes,Electronic check,1
2,106.02,312.22,One year,DSL,No,Credit card,0
52,72.25,3976.35,Month-to-month,Fiber optic,No,Credit card,0
22,98.52,2422.73,One year,Fiber optic,Yes,Mailed check,0
52,48.27,2484.93,Month-to-month,Fiber optic,Yes,Bank transfer,0
36,73.22,2564.27,Month-to-month,Fiber optic,No,Credit card,1
16,53.21,927.45,Two year,DSL,Yes,Electronic check,0
0,60.25,65.33,Month-to-month,No,Yes,Bank transfer,1
50,92.71,4428.72,Month-to-month,Fiber optic,Yes,Credit card,0
44,107.93,5151.19,Month-to-month,Fiber optic,No,Bank transfer,0
3,30.39,120.99,Two year,Fiber optic,No,Mailed check,0
61,82.73,5436.52,Month-to-month,Fiber optic,Yes,Credit card,0
64,77.38,5035.27,Month-to-month,DSL,No,Electronic check,1
31,30.08,938.94,Month-to-month,DSL,Yes,Electronic check,0
33,39.61,1399.73,Month-to-month,DSL,Yes,Mailed check,0
71,49.72,3866.68,Month-to-month,Fiber optic,Yes,Mailed check,0
38,35.03,1317.06,Month-to-month,DSL,Yes,Mailed check,0
25,42.86,1105.61,Month-to-month,DSL,Yes,Mailed check,0
33,45.3,1456.84,Two year,Fiber optic,Yes,Mailed check,0
53,52.24,2642.34,Month-to-month,DSL,No,Credit card,0
2,94.44,299.07,Month-to-month,Fiber optic,No,Credit card,1
49,76.34,3588.49,Month-to-month,DSL,No,Bank transfer,0
11,118.6,1506.69,Month-to-month,DSL,No,Mailed check,1
64,60.3,3864.01,One year,Fiber optic,Yes,Electronic check,0
53,94.89,5631.39,Month-to-month,DSL,No,Electronic check,1
4,106.89,502.1,Month-to-month,No,Yes,Mailed check,1
56,87.26,4568.93,One year,Fiber optic,No,Mailed check,0
16,60.01,933.54,Month-to-month,DSL,Yes,Mailed check,0
46,94.87,4758.01,Month-to-month,DSL,No,Mailed check,0
22,38.77,880.61,Month-to-month,Fiber optic,No,Mailed check,1
13,51.41,648.22,Month-to-month,DSL,Yes,Electronic check,0
65,73.76,5233.05,Month-to-month,DSL,No,Bank transfer,0
50,76.69,4206.03,Month-to-month,Fiber optic,Yes,Mailed check,0
37,20.26,817.06,One year,No,No,Mailed check,0
63,114.4,6953.06,Two year,Fiber optic,No,Mailed check,1
37,89.06,3298.15,Month-to-month,Fiber optic,Yes,Credit card,0
49,68.56,3595.92,Month-to-month,No,Yes,Electronic check,0
29,113.18,3388.17,Month-to-month,DSL,Yes,Electronic check,0
50,62.79,2980.58,Month-to-month,No,No,Bank transfer,0
62,118.0,7051.59,Month-to-month,Fiber optic,Yes,Credit card,0
51,70.25,3998.27,Two year,Fiber optic,No,Credit card,0
37,29.66,1048.41,One year,No,No,Credit card,0
29,96.01,3010.54,Two year,DSL,Yes,Bank transfer,0
50,87.25,4430.19,Two year,DSL,No,Bank transfer,0
4,96.84,508.27,Month-to-month,Fiber optic,No,Bank transfer,1
28,115.05,3443.96,Month-to-month,Fiber optic,Yes,Credit card,0
3,97.2,384.07,Month-to-month,DSL,No,Electronic check,1
9,80.36,780.12,Month-to-month,DSL,No,Credit card,1
55,105.45,6205.61,Two year,Fiber optic,No,Bank transfer,0
16,86.67,1421.27,Month-to-month,Fiber optic,Yes,Credit card,0
16,59.63,1072.05,Two year,Fiber optic,Yes,Mailed check,0
68,108.33,7743.63,Month-to-month,No,No,Credit card,0
33,40.63,1402.88,Two year,DSL,No,Credit card,0
5,90.89,531.03,Two year,DSL,No,Electronic check,1
52,107.92,5382.39,One year,Fiber optic,Yes,Electronic check,0
65,92.59,6368.11,One year,Fiber optic,No,Electronic check,1
42,89.12,3518.96,Month-to-month,DSL,No,Mailed check,0
22,94.77,2384.84,Two year,DSL,Yes,Electronic check,0
54,65.44,3943.82,Two year,No,Yes,Mailed check,0
15,107.17,1587.91,One year,No,No,Bank transfer,0
7,38.75,285.44,One year,Fiber optic,No,Electronic check,1
3,30.99,121.8,One year,DSL,No,Credit card,0
3,47.12,205.96,Two year,No,No,Credit card,1
55,72.22,3963.69,Month-to-month,No,No,Mailed check,0
24,70.08,1704.28,Two year,Fiber optic,Yes,Electronic check,0
66,101.7,7091.34,Month-to-month,No,No,Credit card,0
66,59.27,3715.93,Month-to-month,No,No,Bank transfer,0
26,67.4,1770.06,Month-to-month,No,No,Electronic check,1
31,19.36,593.66,Month-to-month,No,Yes,Bank transfer,0
49,59.79,3050.21,Month-to-month,Fiber optic,No,Credit card,1
60,84.07,4782.37,Month-to-month,Fiber optic,No,Electronic check,1
50,19.58,1008.31,Month-to-month,Fiber optic,Yes,Mailed check,1
18,46.65,949.73,Month-to-month,Fiber optic,Yes,Credit card,0
20,39.21,825.74,Month-to-month,Fiber optic,No,Bank transfer,1
4,22.28,115.49,One year,No,No,Electronic check,0
41,66.88,2570.34,Two year,Fiber optic,No,Bank transfer,0
60,36.54,2206.21,One year,Fiber optic,No,Bank transfer,0
21,93.79,1896.2,Two year,Fiber optic,Yes,Mailed check,0
20,104.49,2237.94,One year,Fiber optic,No,Mailed check,0
69,73.65,4929.75,Month-to-month,Fiber optic,No,Credit card,1
0,118.13,113.1,One year,DSL,No,Mailed check,1
4,63.95,292.68,One year,Fiber optic,No,Mailed check,1
11,70.36,812.28,Month-to-month,DSL,No,Credit card,1
45,118.9,5476.7,Month-to-month,DSL,Yes,Credit card,0
33,41.62,1439.04,One year,Fiber optic,Yes,Credit card,0
48,114.14,5108.14,Month-to-month,DSL,Yes,Credit card,0
44,22.37,1037.14,One year,DSL,Yes,Bank transfer,0
26,63.53,1711.49,Month-to-month,DSL,No,Bank transfer,0
25,25.14,658.46,One year,DSL,No,Credit card,0
46,92.38,4630.85,Month-to-month,Fiber optic,No,Credit card,1
55,80.06,4341.89,Month-to-month,Fiber optic,Yes,Electronic check,0
62,90.08,5305.09,Month-to-month,No,No,Electronic check,1
47,56.2,2725.55,One year,Fiber optic,No,Electronic check,0
60,55.69,3699.45,Two year,DSL,Yes,Mailed check,0
25,22.62,590.22,Two year,DSL,No,Bank transfer,0
35,53.69,2061.15,Month-to-month,Fiber optic,No,Bank transfer,0
0,112.79,118.59,One year,Fiber optic,No,Electronic check,1
7,56.68,455.1,Month-to-month,No,Yes,Electronic check,1
51,102.8,5503.35,Month-to-month,Fiber optic,No,Bank transfer,1
46,103.92,4793.08,Month-to-month,Fiber optic,Yes,Mailed check,0
55,56.07,3159.15,One year,Fiber optic,Yes,Electronic check,0
13,82.46,1156.12,Month-to-month,No,No,Credit card,1
27,27.73,808.91,Month-to-month,Fiber optic,No,Electronic check,1
1,28.58,56.13,One year,DSL,No,Bank transfer,1
25,22.96,549.18,One year,Fiber optic,No,Bank transfer,0
13,77.26,1144.1,Month-to-month,Fiber optic,No,Electronic check,1
58,61.46,3760.2,Month-to-month,No,Yes,Electronic check,0
55,73.9,4510.96,Month-to-month,Fiber optic,No,Credit card,0
6,71.15,490.95,Month-to-month,DSL,Yes,Credit card,1
2,53.72,147.56,One year,No,Yes,Mailed check,0
22,87.1,1851.7,Month-to-month,No,No,Mailed check,0
17,95.37,1810.5,One year,DSL,No,Credit card,0
37,19.49,676.59,Two year,No,No,Mailed check,0
14,39.14,634.99,Month-to-month,DSL,Yes,Mailed check,0
63,90.75,5554.36,Two year,Fiber optic,Yes,Electronic check,0
27,57.44,1736.63,Month-to-month,No,Yes,Credit card,0
38,85.57,3519.78,Month-to-month,Fiber optic,Yes,Electronic check,0
56,53.39,3269.16,Month-to-month,DSL,Yes,Electronic check,0
16,57.86,927.36,Month-to-month,Fiber optic,No,Mailed check,1
43,34.19,1533.15,Month-to-month,Fiber optic,No,Electronic check,1
24,44.34,1018.4,Month-to-month,DSL,No,Bank transfer,0
16,79.75,1275.02,One year,Fiber optic,No,Mailed check,0
12,62.18,777.61,Two year,Fiber optic,Yes,Bank transfer,0
24,96.98,2541.27,One year,DSL,No,Mailed check,0
67,104.96,6458.83,Month-to-month,Fiber optic,Yes,Electronic check,1
9,73.25,791.56,One year,No,No,Mailed check,0
66,95.34,5839.46,One year,Fiber optic,No,Bank transfer,0
17,49.3,865.48,Two year,Fiber optic,No,Mailed check,0
33,60.33,1879.36,Two year,DSL,Yes,Bank transfer,0
7,90.7,764.63,Two year,Fiber optic,No,Credit card,1
39,57.39,2130.92,Month-to-month,No,Yes,Electronic check,0
41,78.03,3529.45,One year,DSL,Yes,Bank transfer,0
40,36.91,1522.46,Month-to-month,Fiber optic,Yes,Credit card,1
5,79.18,517.69,Two year,Fiber optic,No,Electronic check,1
51,105.87,5274.42,Month-to-month,Fiber optic,No,Credit card,0
25,106.6,2746.28,Month-to-month,DSL,Yes,Bank transfer,0
63,91.88,6108.77,Month-to-month,No,No,Electronic check,0
58,94.07,5918.56,One year,DSL,No,Credit card,0
55,74.91,4128.98,Month-to-month,Fiber optic,No,Bank transfer,1
58,77.64,4940.29,Month-to-month,Fiber optic,Yes,Credit card,0
69,31.63,2044.94,Two year,Fiber optic,No,Electronic check,1
32,63.27,2175.05,Two year,DSL,No,Electronic check,0
52,63.98,3287.99,Month-to-month,Fiber optic,No,Electronic check,1
21,115.77,2343.87,Month-to-month,DSL,No,Bank transfer,1
20,61.97,1271.87,Two year,DSL,No,Credit card,0
69,74.03,5576.16,Two year,Fiber optic,Yes,Credit card,0
69,72.39,5554.3,Month-to-month,Fiber optic,Yes,Bank transfer,0
3,82.95,324.69,One year,DSL,Yes,Electronic check,0
61,94.32,6299.78,Month-to-month,DSL,No,Mailed check,0
61,40.95,2543.8,Two year,No,Yes,Electronic check,0
23,71.93,1801.25,One year,No,No,Mailed check,0
54,102.24,5111.91,Month-to-month,DSL,No,Electronic check,1
8,65.24,593.89,Month-to-month,Fiber optic,No,Bank transfer,1
2,46.4,127.23,Two year,Fiber optic,No,Mailed check,1
30,84.78,2506.56,One year,Fiber optic,No,Bank transfer,0
39,102.02,4135.33,Month-to-month,No,No,Mailed check,0
35,24.44,933.89,One year,DSL,No,Credit card,0
23,97.23,2361.94,One year,Fiber optic,Yes,Mailed check,0
5,101.81,664.15,Month-to-month,Fiber optic,No,Mailed check,1
65,65.08,4561.87,One year,Fiber optic,No,Mailed check,0
3,118.3,440.67,One year,Fiber optic,No,Credit card,1
5,98.24,576.35,Two year,No,No,Bank transfer,1
50,96.91,5108.95,Month-to-month,DSL,No,Credit card,1
61,94.28,6357.89,Month-to-month,DSL,Yes,Mailed check,0
56,33.36,2087.0,Month-to-month,DSL,No,Electronic check,0
65,40.16,2790.08,One year,No,Yes,Credit card,0
7,65.33,530.35,One year,Fiber optic,Yes,Electronic check,0
25,44.93,1228.13,Two year,Fiber optic,No,Credit card,0
50,60.35,2938.26,One year,DSL,No,Credit card,0
44,108.62,4676.35,Month-to-month,No,Yes,Mailed check,0
43,102.08,4630.17,Two year,No,No,Bank transfer,0
4,82.26,441.89,Month-to-month,Fiber optic,No,Bank transfer,1
69,105.53,8081.21,Two year,DSL,No,Mailed check,0
25,97.94,2465.63,Month-to-month,DSL,No,Credit card,0
67,61.76,4448.77,One year,Fiber optic,No,Bank transfer,0
18,38.51,783.13,One year,Fiber optic,Yes,Bank transfer,0
19,70.45,1443.71,One year,DSL,No,Bank transfer,0
11,93.1,1083.15,Month-to-month,Fiber optic,Yes,Mailed check,1
46,62.51,3007.95,Month-to-month,DSL,Yes,Electronic check,0
0,86.01,87.46,One year,Fiber optic,No,Electronic check,1
13,27.62,394.92,Two year,Fiber optic,No,Electronic check,1
63,94.3,6179.15,Month-to-month,DSL,Yes,Electronic check,1
37,100.9,4100.34,Two year,Fiber optic,Yes,Electronic check,0
36,90.1,3113.73,Month-to-month,Fiber optic,No,Bank transfer,1
10,116.66,1249.2,Month-to-month,DSL,No,Bank transfer,1
2,102.32,312.24,One year,No,No,Credit card,1
32,110.12,3476.48,One year,DSL,Yes,Bank transfer,0
5,113.22,744.28,Two year,DSL,No,Mailed check,1
49,99.74,4750.77,One year,DSL,Yes,Credit card,0
9,86.77,862.43,Month-to-month,DSL,Yes,Bank transfer,0
4,18.58,99.91,Month-to-month,DSL,No,Credit card,1
22,65.51,1380.18,Month-to-month,DSL,No,Credit card,0
9,76.26,811.51,Month-to-month,Fiber optic,Yes,Electronic check,1
43,49.01,2187.07,One year,DSL,Yes,Credit card,0
1,50.45,91.45,Month-to-month,Fiber optic,No,Bank transfer,1
12,116.04,1630.08,Month-to-month,DSL,Yes,Electronic check,1
39,108.95,3956.36,Month-to-month,DSL,Yes,Bank transfer,1
1,104.62,209.88,Month-to-month,DSL,No,Electronic check,1
64,59.41,3513.35,Month-to-month,No,Yes,Bank transfer,0
62,19.4,1117.38,Two year,Fiber optic,Yes,Electronic check,0
16,26.18,479.53,One year,Fiber optic,No,Electronic check,0
8,49.84,472.41,One year,DSL,No,Mailed check,1
14,19.61,276.32,One year,No,No,Bank transfer,0
23,19.75,485.42,Month-to-month,DSL,No,Credit card,0
37,111.49,4486.31,Two year,DSL,No,Electronic check,0
34,90.03,3396.57,Month-to-month,Fiber optic,No,Bank transfer,1
48,49.51,2410.61,Month-to-month,Fiber optic,No,Electronic check,1
68,31.53,2348.53,One year,No,Yes,Mailed check,0
61,70.19,4358.61,Month-to-month,DSL,No,Mailed check,1
59,18.55,1154.9,One year,No,No,Mailed check,0
49,113.72,6230.75,Month-to-month,Fiber optic,No,Mailed check,1
8,60.31,514.13,One year,Fiber optic,No,Credit card,0
33,59.04,1874.28,Month-to-month,DSL,No,Credit card,1
34,57.84,1960.44,Month-to-month,DSL,No,Electronic check,1
0,25.07,23.39,One year,No,Yes,Bank transfer,0
39,83.11,3180.89,Month-to-month,Fiber optic,Yes,Mailed check,0
63,92.77,6225.81,Month-to-month,Fiber optic,No,Mailed check,1
21,86.96,1904.52,Month-to-month,No,Yes,Credit card,0
59,32.12,1879.04,One year,DSL,Yes,Credit card,0
63,77.04,4801.11,One year,Fiber optic,Yes,Mailed check,0
71,76.09,5143.78,Month-to-month,Fiber optic,Yes,Bank transfer,0
10,106.58,1160.05,Two year,DSL,No,Electronic check,1
13,56.67,813.16,Two year,DSL,Yes,Electronic check,0
59,55.89,3111.39,One year,Fiber optic,Yes,Electronic check,0
29,81.09,2662.74,One year,Fiber optic,Yes,Electronic check,0
34,82.57,2857.17,Month-to-month,Fiber optic,No,Bank transfer,0
36,65.87,2655.54,One year,DSL,Yes,Bank transfer,0
4,63.19,292.86,Month-to-month,No,No,Bank transfer,1
25,68.4,1873.44,Month-to-month,DSL,Yes,Credit card,0
61,105.83,6715.84,Two year,Fiber optic,No,Mailed check,0
3,65.04,276.81,One year,Fiber optic,No,Bank transfer,1
41,113.87,4878.84,Month-to-month,DSL,Yes,Electronic check,0
17,69.41,1365.03,Month-to-month,DSL,No,Bank transfer,0
39,114.82,4709.39,One year,Fiber optic,No,Mailed check,0
71,102.95,7834.32,Month-to-month,No,No,Credit card,0
38,54.97,2305.72,Month-to-month,DSL,No,Electronic check,1
13,106.09,1549.0,Month-to-month,Fiber optic,No,Credit card,1
31,29.23,939.89,Month-to-month,Fiber optic,No,Bank transfer,0
50,112.35,5469.51,One year,DSL,No,Electronic check,0
37,82.43,3354.42,Month-to-month,Fiber optic,Yes,Electronic check,1
22,23.55,539.55,One year,No,Yes,Bank transfer,0
62,83.71,5401.05,Month-to-month,DSL,No,Bank transfer,1
14,117.37,1612.39,One year,No,No,Mailed check,0
24,25.12,627.67,Two year,DSL,No,Bank transfer,0
16,74.58,1318.11,One year,Fiber optic,No,Bank transfer,0
65,94.28,6327.11,Two year,Fiber optic,No,Bank transfer,0
52,100.65,5279.56,Two year,Fiber optic,No,Electronic check,0
50,60.21,2900.86,Month-to-month,Fiber optic,No,Mailed check,1
38,38.82,1456.35,One year,DSL,No,Electronic check,1
50,22.32,1183.99,Two year,Fiber optic,No,Bank transfer,0
69,77.13,5101.28,Month-to-month,Fiber optic,Yes,Mailed check,0
5,64.2,394.58,Month-to-month,DSL,Yes,Bank transfer,1
66,114.77,7827.6,Two year,No,No,Electronic check,0
6,24.18,185.18,One year,DSL,No,Electronic check,1
50,87.91,4089.57,Month-to-month,Fiber optic,Yes,Bank transfer,0
71,20.55,1363.64,Month-to-month,DSL,Yes,Mailed check,0
41,35.49,1492.39,One year,DSL,No,Electronic check,0
63,64.27,4135.58,Month-to-month,DSL,No,Bank transfer,1
14,64.4,877.11,One year,Fiber optic,No,Credit card,0
28,87.94,2716.46,One year,Fiber optic,No,Bank transfer,0
32,110.84,3653.86,One year,Fiber optic,No,Bank transfer,1
26,83.18,2176.98,Month-to-month,DSL,Yes,Mailed check,0
35,115.26,3999.03,One year,Fiber optic,No,Bank transfer,0
28,107.92,3355.9,One year,Fiber optic,No,Credit card,0
37,77.62,2770.66,One year,Fiber optic,Yes,Bank transfer,0
56,103.05,5474.92,Month-to-month,DSL,Yes,Credit card,0
26,83.54,2126.19,Month-to-month,DSL,Yes,Electronic check,0
54,26.01,1466.32,Two year,Fiber optic,No,Bank transfer,0
32,93.54,3278.78,Month-to-month,DSL,Yes,Mailed check,0
67,27.68,1818.61,Month-to-month,DSL,No,Bank transfer,1
65,78.6,4848.81,Month-to-month,DSL,No,Credit card,0
9,89.67,844.55,Two year,Fiber optic,No,Credit card,0
4,24.79,126.9,Month-to-month,Fiber optic,No,Mailed check,1
37,41.54,1498.34,Month-to-month,Fiber optic,Yes,Credit card,1
12,111.4,1557.48,Month-to-month,DSL,No,Bank transfer,1
30,80.86,2308.08,One year,Fiber optic,No,Credit card,0
